BugID,FI,NI,SI,RI,CC,ElapsedTime,CI,OE,OW,Priority
134901,11,0,55,52,12,66.7541087962963,16,826.0,4.0,2.0
134976,0,0,10,8,5,2689.094085648148,4,593.0,1.0,2.0
135142,0,0,55,47,11,6239.295451388889,14,24.0,1.0,2.0
135196,0,0,21,21,7,5.420324074074074,14,2277.0,7.0,5.0
135211,0,0,55,47,11,196.2309490740741,25,728.0,14.0,5.0
135249,0,0,3,3,3,2681.864872685185,2,1186.0,2.0,2.0
135263,0,0,21,17,7,2478.0317939814813,7,,0.0,2.0
135268,493,136,406,205,46,5057.649236111111,90,0.0,11.0,2.0
135278,0,0,6,6,4,36.82148148148149,7,1756.0,3.0,2.0
135292,0,0,21,20,7,193.8958217592593,20,87.0,11.0,2.0
135300,495,105,528,305,48,1105.788298611111,128,4.0,16.0,2.0
135547,0,0,45,31,10,46.97763888888889,12,1795.0,5.0,4.0
135636,1431,1378,351,154,80,7718.330474537037,250,251.0,32.0,2.0
135663,0,0,6,5,4,81.6106712962963,4,42.0,5.0,2.0
135711,0,0,15,15,6,188.1840625,5,473.0,6.0,2.0
135737,0,0,91,70,14,62.125972222222224,44,,0.0,4.0
135794,2,0,1,1,3,2457.3,5,31.0,3.0,2.0
135926,6,0,15,8,7,1712.2639814814816,8,283.0,3.0,2.0
135937,5,0,10,6,6,103.59814814814816,8,1671.0,1.0,1.0
135963,0,0,10,8,5,191.0236226851852,7,766.0,2.0,2.0
135998,0,0,15,14,6,140.36359953703703,7,548.0,8.0,2.0
136002,7,0,21,17,8,3323.5871759259257,14,,0.0,3.0
136063,0,0,55,50,11,141.32708333333332,26,332.0,8.0,5.0
136072,5,0,10,8,6,514.096400462963,8,673.0,0.0,3.0
136087,0,0,6,4,4,115.95300925925926,7,1670.0,2.0,2.0
136216,0,0,55,54,11,18.057488425925925,37,1787.0,13.0,5.0
136235,0,0,15,14,6,27.11429398148148,6,1380.0,2.0,3.0
136275,0,0,15,15,6,26.980833333333333,5,387.0,4.0,2.0
136292,10,0,45,34,11,2729.7278009259257,23,1465.0,1.0,2.0
136294,2,0,1,1,3,685.1231828703703,2,1671.0,1.0,2.0
136456,0,0,36,35,9,16.955844907407407,22,,0.0,2.0
136467,7,0,21,16,8,131.44269675925926,16,2278.0,6.0,2.0
136495,0,0,66,53,12,83.9187037037037,26,1142.0,12.0,2.0
136528,0,0,3,1,3,495.7484259259259,2,1671.0,1.0,2.0
136574,0,0,0,0,1,541.4886805555556,0,1186.0,2.0,2.0
136580,0,0,105,86,15,295.5532407407408,35,664.0,9.0,2.0
136606,0,0,36,35,9,6232.338877314814,17,668.0,5.0,5.0
136670,3,0,3,3,4,68.23563657407408,19,5433.0,11.0,2.0
136678,0,0,10,10,5,25.22473379629629,5,1797.0,3.0,5.0
136696,0,0,21,21,7,6232.136145833333,7,2278.0,6.0,2.0
136756,7,0,21,20,8,45.96787037037037,20,1128.0,17.0,6.0
136871,114,15,171,80,25,7511.742094907408,44,48.0,4.0,4.0
136877,5,0,10,8,6,6853.36443287037,9,,0.0,3.0
136897,72,36,28,19,17,6638.808958333333,22,,0.0,
136915,140,10,378,290,33,164.91114583333334,85,1075.0,6.0,2.0
136922,0,0,28,28,8,41.059953703703705,10,736.0,6.0,2.0
136959,4,0,6,5,5,7117.35525462963,6,,0.0,4.0
136978,6,0,15,11,7,585.0642013888889,12,2390.0,2.0,3.0
136980,0,0,6,6,4,760.9408449074074,6,604.0,0.0,5.0
136985,0,0,15,14,6,112.55763888888887,5,568.0,5.0,2.0
137189,837,351,465,248,58,6059.166597222223,140,56.0,12.0,2.0
137213,0,0,36,32,9,33.77726851851852,15,986.0,6.0,2.0
137223,14,0,91,58,15,112.55215277777778,32,104.0,9.0,4.0
137231,0,0,66,62,12,160.6331365740741,28,,0.0,2.0
137306,10,1,10,10,7,16.123645833333335,7,,0.0,6.0
137450,627,171,528,256,52,3685.084375,139,1.0,25.0,2.0
137523,0,0,120,97,16,1031.3822916666666,31,209.0,8.0,4.0
137535,0,0,10,10,5,232.1205671296296,9,,0.0,2.0
137556,0,0,3,3,3,4.815520833333333,4,2936.0,3.0,2.0
137685,0,0,66,60,12,177.69873842592594,30,167.0,5.0,4.0
137688,48,6,66,29,16,7170.135428240741,34,105.0,6.0,2.0
137853,0,0,45,28,10,100.0200462962963,42,906.0,23.0,2.0
137892,0,0,3,3,3,139.8499074074074,6,1667.0,5.0,2.0
138012,0,0,15,12,6,8.191759259259259,8,1756.0,3.0,5.0
138015,0,0,10,6,5,20.062858796296297,6,1153.0,1.0,2.0
138191,18,1,36,33,11,154.16658564814816,30,43.0,15.0,2.0
138215,6,0,15,14,7,6849.902152777778,8,331.0,0.0,2.0
138242,0,0,10,8,5,25.42754629629629,7,1670.0,2.0,2.0
138500,8,0,28,27,9,19.311481481481483,27,,0.0,5.0
138540,0,0,10,7,5,0.3090625,7,1755.0,4.0,2.0
138676,0,0,3,3,3,6.940185185185185,2,1759.0,0.0,4.0
138692,6,0,15,15,7,173.84927083333332,9,988.0,4.0,2.0
138852,0,0,6,5,4,3.0447685185185187,3,167.0,4.0,2.0
138900,0,0,21,15,7,244.02027777777772,22,1752.0,7.0,2.0
138957,12,0,66,48,13,292.3630439814815,71,173.0,35.0,4.0
139057,3,0,3,3,4,239.0288657407408,15,1667.0,5.0,2.0
139159,10,1,10,5,7,479.9792013888889,6,1671.0,1.0,2.0
139202,0,0,36,30,9,124.86591435185186,19,494.0,7.0,4.0
139240,0,0,36,25,9,112.10383101851852,24,19.0,5.0,2.0
139334,1,0,0,0,2,32.02916666666667,2,1670.0,2.0,2.0
139354,0,0,6,5,4,2250.683275462963,4,,0.0,3.0
139362,27,3,36,31,12,42.98511574074074,26,602.0,2.0,5.0
139418,0,0,6,3,4,8.611655092592592,4,1671.0,1.0,3.0
139529,0,0,28,28,8,111.10738425925926,13,,0.0,5.0
